# x y u v p
7.50000000e-01 1.50000000e-01 -9.13770000e-01 -6.26382000e-01 8.26157000e+02
7.75000000e-01 1.50000000e-01 -6.85875000e-01 -5.14287000e-01 8.26176000e+02
8.00000000e-01 1.50000000e-01 -4.89442000e-01 -3.88330000e-01 8.26196000e+02
8.25000000e-01 1.50000000e-01 -3.27431000e-01 -2.57112000e-01 8.26162000e+02
8.50000000e-01 1.50000000e-01 -2.00942000e-01 -1.33089000e-01 8.26144000e+02
8.75000000e-01 1.50000000e-01 -1.10985000e-01 -3.01553000e-02 8.26174000e+02
9.00000000e-01 1.50000000e-01 -5.67640000e-02 4.55908000e-02 8.26174000e+02
9.25000000e-01 1.50000000e-01 -2.68971000e-02 9.07597000e-02 8.26140000e+02
9.50000000e-01 1.50000000e-01 -1.38972000e-02 9.62159000e-02 8.26150000e+02
9.75000000e-01 1.50000000e-01 -6.19090000e-03 4.82385000e-02 8.26176000e+02
1.00000000e+00 1.50000000e-01 0.00000000e+00 0.00000000e+00 8.26176000e+02
0.00000000e+00 1.75000000e-01 0.00000000e+00 0.00000000e+00 8.26315000e+02
2.50000000e-02 1.75000000e-01 -2.33968000e-02 4.97461000e-02 8.26315000e+02
5.00000000e-02 1.75000000e-01 -7.26178000e-02 8.82726000e-02 8.26326000e+02
7.50000000e-02 1.75000000e-01 -1.53671000e-01 1.51770000e-01 8.26341000e+02
1.00000000e-01 1.75000000e-01 -2.57622000e-01 2.44371000e-01 8.26316000e+02
1.25000000e-01 1.75000000e-01 -3.78388000e-01 3.44909000e-01 8.26296000e+02
1.50000000e-01 1.75000000e-01 -5.22199000e-01 4.45982000e-01 8.26313000e+02
1.75000000e-01 1.75000000e-01 -6.89671000e-01 5.44653000e-01 8.26310000e+02
2.00000000e-01 1.75000000e-01 -8.74752000e-01 6.42733000e-01 8.26272000e+02
2.25000000e-01 1.75000000e-01 -1.07199000e+00 7.24857000e-01 8.26257000e+02
2.50000000e-01 1.75000000e-01 -1.28120000e+00 7.85006000e-01 8.26262000e+02
2.75000000e-01 1.75000000e-01 -1.49433000e+00 8.24814000e-01 8.26232000e+02
3.00000000e-01 1.75000000e-01 -1.70104000e+00 8.40992000e-01 8.26185000e+02
3.25000000e-01 1.75000000e-01 -1.89644000e+00 8.22760000e-01 8.26166000e+02
3.50000000e-01 1.75000000e-01 -2.08149000e+00 7.71855000e-01 8.26148000e+02
3.75000000e-01 1.75000000e-01 -2.24798000e+00 6.97286000e-01 8.26106000e+02
